"{""coordinates"":[[-73.9149185843999,40.6632634584005],[-73.9139990215168,40.6634007337813],[-73.9130784730462,40.663538208186],[-73.9121229577098,40.6636803852369]],""type"":""LineString""}",11,Betsy Head Park,Brooklyn,DUMONT AVENUE,Thomas Boyland St,Strauss St,Full Block,1590192000000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brownsville,Open Streets,790.332687495,0.149684221117,317.165421270126
"{""coordinates"":[[-73.9896138643655,40.6880000886927],[-73.9874306853001,40.6871469047526],[-73.9852606427879,40.6863023615954],[-73.9830928203996,40.6854593894765]],""type"":""LineString""}",12,Boerum Hill,Brooklyn,Pacific St,Smith St,Nevins St,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Boerum Hill,Open Streets,2031.64392435,0.384781046278,816.135673484799
"{""coordinates"":[[-73.9824178210937,40.6827888173394],[-73.9801309823835,40.6819000305142],[-73.9800365396945,40.6818608780939]],""type"":""LineString""}",13,Boerum Hill,Brooklyn,St. Marks Place,3rd Ave,4th Ave,Full Block,1589414400000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Boerum Hill,Open Streets,741.967210773,0.140524092949,298.037515111311
"{""coordinates"":[[-73.9887229097426,40.6892540602962],[-73.9886744526345,40.6892352131942],[-73.9865696628578,40.6884165046821],[-73.9844007140183,40.6875726389818],[-73.9822330858749,40.6867287054932]],""type"":""LineString""}",14,Boerum Hill,Brooklyn,STATE STREET,Nevins St,Smith St,Full Block,1590192000000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Boerum Hill,Open Streets,2021.3584758,0.382833044658,812.017956835126
"{""coordinates"":[[[-73.9839126925043,40.6833705628069],[-73.9828928711789,40.6829736349369],[-73.9824178210937,40.6827888173394]],[[-73.9843755478586,40.6835507061756],[-73.9842229016399,40.6834912961542],[-73.9841554500099,40.68346504439],[-73.9840893612073,40.6834393227899],[-73.9840165112266,40.6834109693485]]],""type"":""MultiLineString""}",15,Boerum Hill,Brooklyn,Wyckoff St,Nevins St,3rd Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Boerum Hill,Open Streets,577.475370467,0.109370335316,231.966006661066
"{""coordinates"":[[-73.9843755478586,40.6835507061756],[-73.9842229016399,40.6834912961542],[-73.9841554500099,40.68346504439],[-73.9840893612073,40.6834393227899],[-73.9840165112266,40.6834109693485],[-73.9839626420537,40.6833900033185],[-73.9839126925043,40.6833705628069],[-73.9828928711789,40.6829736349369],[-73.9824178210937,40.6827888173394]],""type"":""LineString""}",16,Boerum Hill,Brooklyn,Wycoff St,Nevins St,3rd Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Boerum Hill,Open Streets,609.814455871,0.115495162097,244.956336601722
"{""coordinates"":[[-73.9983136383707,40.6937342481468],[-73.9989830124717,40.6923586686832]],""type"":""LineString""}",17,Brooklyn Heights,Brooklyn,Columbia Pl,Joralemon St,State St,Full Block,1590278400000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,534.435741923,0.101218890516,215.26783760036
"{""coordinates"":[[-73.9992370620803,40.693894639206],[-73.9992111997651,40.6938882634825],[-73.9991362856979,40.6938697752793],[-73.9990732616599,40.6938593918778],[-73.9983136383707,40.6937342481468],[-73.9976102032664,40.6936085598597],[-73.9967184710031,40.6934475802468]],""type"":""LineString""}",18,Brooklyn Heights,Brooklyn,Joralemon Street,Hicks Street,Furman Street,Full Block,1589414400000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,717.299853036,0.135852244893,288.003972708171
"{""coordinates"":[[-73.9973847542947,40.6956522424235],[-73.9958563176835,40.6952288746202]],""type"":""LineString""}",19,Brooklyn Heights,Brooklyn,MONTAGUE STREET,Hicks St,Pierrepont Pl,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,451.029708556,0.0854222932871,181.144008099158
"{""coordinates"":[[-73.9976102032664,40.6936085598597],[-73.9983402042385,40.6920953329566]],""type"":""LineString""}",20,Brooklyn Heights,Brooklyn,Willow Pl,Joralemon St,State St,Full Block,1590278400000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,587.304593531,0.111231930593,236.564106328392
"{""coordinates"":[[-73.995457748004,40.698128934114],[-73.9964150026467,40.6961393574757]],""type"":""LineString""}",21,Brooklyn Heights,Brooklyn,Willow Street,Middagh Street,Pierrepont Street,Full Block,1590192000000,"8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,771.934246166,0.146199667834,310.952759699527
"{""coordinates"":[[-73.9942261014681,40.7007168607715],[-73.9945297586098,40.7000801594276],[-73.9948359785952,40.6994294543789],[-73.9951465701819,40.6987820994526],[-73.9954577477245,40.6981289344519]],""type"":""LineString""}",22,Brooklyn Heights,Brooklyn,WILLOW STREET,Middagh St,Pierrepont Street,Full Block,1590192000000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brooklyn Heights,Open Streets,1002.80564033,0.189925310669,403.970321306896
"{""coordinates"":[[-73.9097003520778,40.6656354578621],[-73.9093871449746,40.6656819294864],[-73.9092509436145,40.665702137779],[-73.9088574109162,40.6657605250411],[-73.9086562423288,40.6657903706984],[-73.9084050022373,40.6658276459328],[-73.9083179407305,40.6658405620306],[-73.9079064175399,40.6659016143396],[-73.9077635769519,40.665922909684],[-73.9076760857314,40.6659359528249],[-73.907373749517,40.6659810237864],[-73.9067984569771,40.6660667836062],[-73.906355589406,40.6661328010358],[-73.9062845276288,40.6661433935782],[-73.906024449799,40.666182162078],[-73.9059714218944,40.6661900703092],[-73.9059233976142,40.6661971541326],[-73.9055915022743,40.6662460900681],[-73.90516813883,40.6663085114619],[-73.9050163262145,40.666327386217],[-73.9048386376939,40.6663570914951],[-73.9047198030203,40.6663746117409],[-73.9043274469504,40.6664324558796],[-73.904200969462,40.6664511047845],[-73.9038962339447,40.6664960331343],[-73.9031921834738,40.6665998325074]],""type"":""LineString""}",23,Brownsville,Brooklyn,BLAKE AVENUE,Rockaway Ave,Powell St,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brownsville,Open Streets,1839.41020591,0.348373145059,738.194833163441
